year,state,rate,value
1992,Washington,9.548290598,"58,220"
1992,West Virginia,12.69893939,"34,814"
1992,Wisconsin,6.307523148,"57,204"
1992,Wyoming,5.504710145,"51,881"
1993,Alabama,9.182462687,"42,017"
1993,Arizona,11.46333333,"51,110"
1993,Arkansas,6.957333333,"38,594"
1993,California,12.01091954,"57,078"
1993,Colorado,6.209244792,"57,773"
1993,Connecticut,6.613541667,"66,196"
1993,Delaware,5.252777778,"60,413"
1993,Hawaii,7.452083333,"71,466"
1993,Idaho,7.3625,"51,947"
1993,Illinois,7.452614379,"55,041"
1993,Indiana,5.831612319,"49,376"
1993,Iowa,4.181902357,"48,016"
1993,Kansas,4.19452381,"49,870"
1993,Kentucky,7.531180556,"40,834"
1993,Louisiana,9.1046875,"44,077"
1993,Maine,7.860416667,"45,963"
1993,Maryland,7.236111111,"66,905"
1993,Massachusetts,7.125,"62,089"
1993,Michigan,9.225903614,"54,715"
1993,Minnesota,6.352969349,"56,423"
1993,Mississippi,7.807215447,"37,174"
1993,Missouri,7.675724638,"48,047"
1993,Montana,5.606994048,"44,342"
1993,Nebraska,2.596146953,"51,944"
1993,Nevada,8.275,"59,995"
1993,New Hampshire,5.976666667,"63,596"
1993,New Jersey,7.748412698,"67,845"
1993,New Mexico,8.007070707,"44,824"
1993,New York,7.328360215,"53,098"
1993,North Carolina,6.094416667,"48,279"
1993,North Dakota,4.782704403,"47,103"
1993,Ohio,7.724905303,"52,408"
1993,Oklahoma,6.349134199,"43,990"
1993,Oregon,8.535185185,"55,512"
1993,Pennsylvania,7.68221393,"51,922"
1993,Rhode Island,7.491666667,"56,133"
1993,South Carolina,8.944202899,"43,643"
1993,South Dakota,4.306565657,"46,464"
1993,Tennessee,7.348333333,"42,050"
1993,Texas,7.163845144,"48,123"
1993,Utah,5.735344828,"59,948"
1993,Vermont,5.944047619,"52,039"
1993,Virginia,6.461152882,"61,032"
1993,Washington,9.622863248,"59,728"
1993,West Virginia,12.00530303,"37,559"
1993,Wisconsin,5.895717593,"53,214"
1993,Wyoming,5.225,"49,320"
1994,Alabama,7.622139303,"44,626"
1994,Arizona,11.44888889,"51,349"
1994,Arkansas,6.176777778,"41,950"
1994,California,10.85761494,"57,975"
1994,Colorado,4.942708333,"62,081"
1994,Connecticut,5.552083333,"67,436"
1994,Delaware,5,"58,864"
1994,Hawaii,8.364583333,"69,337"
